Ticker,Name,Industry,Stock Price,Book value per Share,Cash per Share,Dividend per Share,EPS (Basic),Revenue per Share,Shareholders Equity per Share
DASH,"DoorDash, Inc.",Internet Content & Information,187.94,14.7335,15.232,0,-1.45,9.047,14.7335
EMR,Emerson Electric Co.,Specialty Industrial Machinery,104.77,13.9386,5.4975,2.005,3.24,27.8441,13.9386
TWLO,Twilio Inc.,Internet Content & Information,361.25,57.6176,20.7213,0,-3.35,12.0087,57.6176
VMW,"VMware, Inc.",Software Infrastructure,148.18,21.55,11.3595,0,4.86,28.0167,21.55
NXPI,NXP Semiconductors N.V.,Semiconductors,226.51,31.9429,8.125,1.625,0.19,30.7571,31.9429
ADI,"Analog Devices, Inc.",Semiconductors,166.48,32.5149,2.8618,2.4015,3.28,15.1843,32.5149
VEDL,Vedanta  Limited,Other Industrial Metals & Mining,16.25,2.2973,1.2222,0.3367,0.4279,3.2358,2.2973
NIO,NIO Inc.,Auto Manufacturers,38.05,3.5114,5.4877,0,-0.73,1.9907,3.5114
APD,"Air Products and Chemicals, Inc.",Chemicals,268.5,54.6606,28.7692,4.9937,8.49,40.0724,54.6606
PAC,"Grupo Aeroportuario Del Pacifico, S.A. de C.V.",Airports & Air Services,114.83,2.0823,1.3802,0,0.1885,1.1338,2.0823
UBS,UBS Group AG,Banks Diversified,16.9,16.6595,53.2984,0.7276,1.9539,8.066,16.6595
NOC,Northrop Grumman Corporation,Aerospace & Defense,364.84,63.3094,29.3656,5.7032,19.03,220.2214,63.3094
DOCU,DocuSign Inc.,Software Application,300.76,1.7527,4.1613,0,-1.31,7.8118,1.7527
